cell_id,mouse_id,condition,number_of_trials,pre_stim_integral_mean,post_stim_integral_mean,p-value_on_integrals,direction_of_effect_on_integrals,pre_stim_mean_all,post_stim_mean_all,p-value_on_means,direction_of_effect_on_means,integral_change_magnitude,mean_change_magnitude
C116,M348126,cr,64,1.6587037822290058,4.121051570749217,0.3891978095306845,1.0,0.055371291045486166,0.1418381780146381,0.37881100916858,1.0,2.462347788520211,0.08646688696915195
C119,M348126,hit,48,11.515859676280423,-8.06357990472125,3.746832077588381e-07,-1.0,0.3919869821282509,-0.2675636656651561,5.136450830325341e-07,-1.0,-19.579439581001672,-0.659550647793407
C119,M348126,miss,20,11.515859676280423,17.06770685536009,0.3423117358151404,1.0,0.3919869821282509,0.5826510360453752,0.33881876486418483,1.0,5.551847179079667,0.19066405391712427
C119,M348126,fa,324,11.515859676280423,-2.025673900192988,5.215417803736289e-15,-1.0,0.3919869821282509,-0.06053267462629914,1.9298503748561092e-14,-1.0,-13.54153357647341,-0.45251965675455
C119,M348126,cr,64,11.515859676280423,-0.5654049985450256,0.0003855837725447514,-1.0,0.3919869821282509,-0.016933409549121137,0.00042613585960587185,-1.0,-12.081264674825448,-0.40892039167737204
C122,M348126,hit,48,-0.5901642702461691,-9.901142963370239,0.0005452930362227058,-1.0,-0.020724297386133947,-0.3434690721394298,0.0004797954540643743,-1.0,-9.31097869312407,-0.3227447747532958
C122,M348126,miss,20,-0.5901642702461691,-6.378490814309178,0.15472072571886314,-1.0,-0.020724297386133947,-0.21900352658512504,0.15539112521698137,-1.0,-5.7883265440630085,-0.1982792291989911
C122,M348126,fa,324,-0.5901642702461691,1.3952297608025692,0.1596985655043005,1.0,-0.020724297386133947,0.05555917217816178,0.11554629772974104,1.0,1.9853940310487384,0.07628346956429573
C122,M348126,cr,64,-0.5901642702461691,-4.338734157663463,0.10196030657926372,-1.0,-0.020724297386133947,-0.15010707378743715,0.09998515910219484,-1.0,-3.748569887417294,-0.1293827764013032
C125,M348126,hit,48,0.1596308002071586,42.44660025766059,4.652451415648775e-43,1.0,0.010651956281977432,1.4538624278699934,9.393501166858949e-43,1.0,42.28696945745343,1.443210471588016
C125,M348126,miss,20,0.1596308002071586,3.6701070879377937,0.40755703606452054,1.0,0.010651956281977432,0.1176728157003264,0.46107611863196574,1.0,3.510476287730635,0.10702085941834896
C125,M348126,fa,324,0.1596308002071586,-0.3230000510562933,0.7007659344471029,-1.0,0.010651956281977432,-0.008290205172525404,0.6586945951794054,-1.0,-0.48263085126345195,-0.018942161454502837
C125,M348126,cr,64,0.1596308002071586,-2.120596268419609,0.37779434598079753,-1.0,0.010651956281977432,-0.07193290009026367,0.3517259389345473,-1.0,-2.280227068626768,-0.0825848563722411
C140,M348126,hit,48,-8.423627071587697,2.540215772198994,0.0012030577878412141,1.0,-0.28727260500246987,0.0733488979661109,0.0017786097196207601,1.0,10.963842843786692,0.36062150296858075
C140,M348126,miss,20,-8.423627071587697,-4.790949305681143,0.4881685202998912,1.0,-0.28727260500246987,-0.1649373486114969,0.4935634037625857,1.0,3.6326777659065543,0.12233525639097298
C140,M348126,fa,324,-8.423627071587697,15.97087970748399,8.949800245689534e-52,1.0,-0.28727260500246987,0.5389985981550809,3.555556114084989e-51,1.0,24.394506779071687,0.8262712031575508
C140,M348126,cr,64,-8.423627071587697,0.7687924883085063,0.002106975353188381,1.0,-0.28727260500246987,0.0263309649027669,0.0021029886010544463,1.0,9.192419559896203,0.31360356990523675
C145,M348126,hit,48,-1.2082294292480047,-11.837277418992521,0.0016083128324283023,-1.0,-0.04254843273365503,-0.4025999342672871,0.0018790958988703676,-1.0,-10.629047989744516,-0.360051501533632
C145,M348126,miss,20,-1.2082294292480047,-7.53948172699361,0.19770209283446363,-1.0,-0.04254843273365503,-0.2625090429744976,0.19304978912666923,-1.0,-6.331252297745605,-0.2199606102408426
C145,M348126,fa,324,-1.2082294292480047,0.966099923437694,0.15297056645808493,1.0,-0.04254843273365503,0.03341490318306334,0.14616712391675163,1.0,2.1743293526856986,0.07596333591671836
C145,M348126,cr,64,-1.2082294292480047,-5.387016772091619,0.15255211730466414,-1.0,-0.04254843273365503,-0.18560886232736867,0.15414215160232073,-1.0,-4.178787342843615,-0.14306042959371365
C159,M348126,hit,48,-1.7272705202772214,15.826215778178154,1.0484620104644574e-10,1.0,-0.06419777323075564,0.5381830509163925,1.1446440801620138e-10,1.0,17.553486298455375,0.6023808241471481
C159,M348126,miss,20,-1.7272705202772214,-0.6037851304857227,0.7655480016568814,1.0,-0.06419777323075564,-0.0196624442764703,0.7315196377985692,1.0,1.1234853897914987,0.04453532895428534
C159,M348126,fa,324,-1.7272705202772214,-6.24527458298355,0.0026983432581700597,-1.0,-0.06419777323075564,-0.21858662675527987,0.0027991983431002168,-1.0,-4.5180040627063285,-0.15438885352452425
C159,M348126,cr,64,-1.7272705202772214,0.7354287178172951,0.24805572891269953,1.0,-0.06419777323075564,0.02491085205321672,0.22503745368345077,1.0,2.4626992380945163,0.08910862528397236
C161,M348126,hit,48,5.168838849821805,-31.994706645921898,4.2352931146381786e-51,-1.0,0.17524550889133217,-1.1017261103665665,1.7923556186994168e-51,-1.0,-37.163545495743705,-1.2769716192578988
C161,M348126,miss,20,5.168838849821805,-0.684225876158836,0.06842707979781762,-1.0,0.17524550889133217,-0.018006727537741476,0.07886812776562471,-1.0,-5.853064725980641,-0.19325223642907363
C161,M348126,fa,324,5.168838849821805,2.6158161126800534,0.03303590193572602,-1.0,0.17524550889133217,0.08740333833550748,0.03209011145948759,-1.0,-2.5530227371417515,-0.08784217055582469
C161,M348126,cr,64,5.168838849821805,6.309496412473455,0.5416038935326699,1.0,0.17524550889133217,0.2147467713546681,0.5367810364678312,1.0,1.1406575626516497,0.039501262463335934
C173,M348126,hit,48,2.4650634486452287,-4.905944754907302,0.04274474084069262,-1.0,0.08428857779342627,-0.16543053644938469,0.04560590741621132,-1.0,-7.371008203552531,-0.24971911424281096
C173,M348126,miss,20,2.4650634486452287,15.378653997914228,0.018009440577521824,1.0,0.08428857779342627,0.5275923858099156,0.01811762230401498,1.0,12.913590549269,0.4433038080164894
C173,M348126,fa,324,2.4650634486452287,-4.656122338382039,9.29159812976146e-05,-1.0,0.08428857779342627,-0.15654183193724538,0.00011560882383280567,-1.0,-7.121185787027267,-0.24083040973067166
