cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C065,9.49747,6.58025,0.0535455,62.4957,43.1316,0.1,0.157435,0.55,0.520165,1.0,308.0,165.0,67.0,11.6619,308.0,165.0,67.0,11.6619,False,8.206621329066538
C066,14.6984,4.8842099999999995,0.0566052,71.7898,37.7761,0.15,0.5164850000000001,0.95,1.35332,1.0,317.0,193.0,70.5,14.7648,317.0,193.0,70.5,14.7648,False,7.290348402205938
C067,13.7679,8.78854,0.050485699999999994,121.0,71.1596,0.2,0.498026,0.95,1.32565,1.0,160.0,137.0,67.0,11.1803,160.0,137.0,67.0,11.1803,False,6.936454382566774
C068,9.31948,5.46394,0.0887325,50.9211,44.907,0.15,0.18324200000000002,0.675,0.7444189999999999,1.0,58.0,200.0,69.0,11.1803,58.0,200.0,69.0,11.1803,False,6.819949854115413
C069,7.565760000000001,7.27565,0.0749637,55.0458,37.5035,0.1,0.328261,0.5,0.684038,1.0,165.0,103.0,54.5,10.198,165.0,103.0,54.5,10.198,False,8.178885648216125
C070,17.6071,11.8433,0.140748,208.525,172.265,0.15,0.43747700000000006,0.65,0.7416010000000001,1.0,109.0,127.0,63.0,10.2956,109.0,127.0,63.0,10.2956,False,6.6813648181271414
C071,8.56812,8.23126,0.07037410000000001,70.5264,51.3598,0.125,0.136633,0.575,0.91733,1.0,273.0,148.0,61.0,13.0384,273.0,148.0,61.0,13.0384,False,7.016990240978524
C072,7.990189999999999,7.98535,0.035187,63.8044,60.4729,0.15,0.0561442,0.75,0.550987,1.0,190.0,175.0,69.5,13.4164,190.0,175.0,69.5,13.4164,False,7.7327044305023485
C073,22.8711,19.1444,0.137688,437.85400000000004,471.25300000000004,0.15,0.728888,0.975,1.47157,1.0,198.0,180.0,64.0,10.0499,198.0,180.0,64.0,10.0499,False,6.984562252878366
C074,10.8735,6.31731,0.07649349999999999,68.6912,48.1629,0.15,0.149332,0.7,0.754188,1.0,7.0,150.0,63.5,12.0416,7.0,150.0,63.5,12.0416,False,6.911787058237697
